account_id,symbol,side,qty,timestamp
77658,GOOG,sell,493,2023-09-04 09:30:00
19191,NVDA,sell,216,2023-09-04 09:30:03
90209,NVDA,sell,108,2023-09-04 09:30:07
59797,FB,buy,612,2023-09-04 09:30:07
20249,NFLX,buy,7,2023-09-04 09:30:12
20867,NFLX,sell,955,2023-09-04 09:30:15
33570,TSLA,sell,777,2023-09-04 09:30:18
67954,AMZN,sell,783,2023-09-04 09:30:25
89999,MSFT,buy,552,2023-09-04 09:30:28
66661,FB,buy,419,2023-09-04 09:30:31
93697,NVDA,buy,224,2023-09-04 09:30:33
85072,NFLX,buy,420,2023-09-04 09:30:36
72138,AAPL,buy,912,2023-09-04 09:30:37
89187,PYPL,sell,206,2023-09-04 09:30:40
12885,FB,buy,560,2023-09-04 09:30:41
16655,FB,sell,613,2023-09-04 09:30:45
62037,NVDA,sell,564,2023-09-04 09:30:46
53951,NFLX,buy,182,2023-09-04 09:30:48
26429,NFLX,sell,28,2023-09-04 09:30:48
73729,GOOG,sell,918,2023-09-04 09:30:48
21538,PYPL,buy,934,2023-09-04 09:30:55
99393,ADBE,buy,875,2023-09-04 09:30:57
81825,MSFT,sell,536,2023-09-04 09:31:00
53951,ADBE,buy,936,2023-09-04 09:31:04
66087,AMZN,sell,235,2023-09-04 09:31:07
91088,FB,sell,57,2023-09-04 09:31:16
21140,NVDA,buy,349,2023-09-04 09:31:27
92980,NVDA,buy,539,2023-09-04 09:31:28
54629,FB,buy,352,2023-09-04 09:31:28
20464,PYPL,buy,826,2023-09-04 09:31:36
92197,GOOG,buy,52,2023-09-04 09:31:36
41828,MSFT,buy,208,2023-09-04 09:31:37
44370,MSFT,buy,564,2023-09-04 09:31:39
82860,GOOG,sell,67,2023-09-04 09:31:41
13089,ADBE,buy,869,2023-09-04 09:31:46
72080,MSFT,sell,550,2023-09-04 09:31:47
18764,AAPL,sell,216,2023-09-04 09:32:00
42107,NVDA,sell,80,2023-09-04 09:32:08
52127,PYPL,sell,891,2023-09-04 09:32:11
35102,AAPL,buy,548,2023-09-04 09:32:13
50411,TSLA,buy,564,2023-09-04 09:32:16
64087,ADBE,sell,137,2023-09-04 09:32:17
66087,GOOG,buy,811,2023-09-04 09:32:18
66087,GOOG,sell,715,2023-09-04 09:32:26
77220,NFLX,buy,426,2023-09-04 09:32:26
58374,MSFT,buy,452,2023-09-04 09:32:29
42832,GOOG,buy,175,2023-09-04 09:32:34
58046,MSFT,buy,276,2023-09-04 09:32:37
53547,NFLX,buy,672,2023-09-04 09:32:39
29370,FB,sell,799,2023-09-04 09:32:41
41570,AAPL,sell,622,2023-09-04 09:32:43
53547,NFLX,sell,672,2023-09-04 09:32:48
26903,FB,sell,282,2023-09-04 09:32:50
63132,ADBE,buy,586,2023-09-04 09:32:59
25792,FB,sell,308,2023-09-04 09:33:02
14034,MSFT,sell,81,2023-09-04 09:33:02
61632,GOOG,buy,800,2023-09-04 09:33:07
96958,GOOG,sell,304,2023-09-04 09:33:08
52398,GOOG,buy,831,2023-09-04 09:33:12
34682,GOOG,buy,979,2023-09-04 09:33:13
72332,NFLX,buy,643,2023-09-04 09:33:15
25661,AAPL,sell,975,2023-09-04 09:33:16
20978,NFLX,buy,527,2023-09-04 09:33:18
82863,AAPL,buy,866,2023-09-04 09:33:21
45284,MSFT,buy,435,2023-09-04 09:33:28
45742,AMZN,sell,849,2023-09-04 09:33:30
20249,NFLX,buy,463,2023-09-04 09:33:39
84392,GOOG,sell,602,2023-09-04 09:33:50
88143,FB,sell,196,2023-09-04 09:34:01
28192,MSFT,buy,237,2023-09-04 09:34:04
79474,FB,sell,318,2023-09-04 09:34:05
78466,ADBE,buy,626,2023-09-04 09:34:09
67954,TSLA,sell,849,2023-09-04 09:34:10
75178,ADBE,sell,626,2023-09-04 09:34:10
10108,NFLX,sell,704,2023-09-04 09:34:13
60801,NVDA,buy,633,2023-09-04 09:34:13
71801,NVDA,sell,434,2023-09-04 09:34:15
33932,AAPL,buy,765,2023-09-04 09:34:16
38175,AMZN,buy,845,2023-09-04 09:34:19
58654,GOOG,sell,2,2023-09-04 09:34:30
89507,PYPL,buy,194,2023-09-04 09:34:49
89999,MSFT,buy,327,2023-09-04 09:34:50
84052,NVDA,sell,874,2023-09-04 09:34:54
21538,PYPL,sell,934,2023-09-04 09:34:58
58046,NFLX,sell,714,2023-09-04 09:35:04
